iso3,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,
ABNJ,na,na,na,na,
ABW,na,na,na,na,
AFG,na,na,,No information found in 5th National Report,
AGO,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf,
AIA,na,na,na,na,
ALA,na,na,na,na,
ALB,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf,
AND,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1,
ARE,na,na,,na,
ARG,na,na,,na,
ARM,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf,
ASM,na,na,,na,
ATA,na,na,,na,
ATF,na,na,,na,
ATG,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf,
AUS,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf,
AUT,27,na,5,https://www.cbd.int/doc/world/at/at-nr-05-en.pdf,
AZE,10.3,na,5,https://www.cbd.int/doc/world/az/az-nr-05-en.pdf,
BDI,na,na,5,https://www.cbd.int/doc/world/bi/bi-nr-05-fr.pdf,
BEL,12.77,35.85,6,https://chm.cbd.int/database/record/190C2BA4-9F5C-AD89-32B5-778480AB2C5B,
BEN,20.16,na,5,https://www.cbd.int/doc/world/bj/bj-nr-05-fr.pdf,
BES,na,na,,na,
BFA,na,na,,na,
BGD,1.8,2.05,5,https://www.cbd.int/doc/world/bd/bd-nr-05-en.pdf,
BGR,34,na,5,https://www.cbd.int/doc/world/bg/bg-nr-05-en.pdf,
BHR,na,na,5,https://www.cbd.int/doc/world/bh/bh-nbsap-v2-en.pdf,
BHS,na,na,,na,
BIH,2,na,5,https://www.cbd.int/doc/world/ba/ba-nr-05-en.pdf,
BLM,na,na,,na,
BLR,8.72,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241352/1,
BLZ,36.6,19.8,6,https://chm.cbd.int/database/record/7E3D234F-E8AD-520C-C92B-490CE2806718,
BMU,na,na,,na,
BOL,23,na,5,https://www.cbd.int/doc/world/bo/bo-nr-05-es.pdf,
BRA,16,1.5,5,https://www.cbd.int/doc/world/br/br-nr-05-en.pdf,
BRB,na,na,,na,
BRN,41,na,5,https://www.cbd.int/doc/world/bn/bn-nr-05-en.pdf,
BTN,51.44,na,6,https://chm.cbd.int/database/record/780672FC-714D-DCB8-463B-8C13757C89D1,
BVT,na,na,,na,
BWA,29.1,na,6,https://chm.cbd.int/database/record/79991C85-C09A-E604-22B4-60A04E4C873D,
CAF,41,na,5,https://www.cbd.int/doc/world/cf/cf-nr-05-fr.pdf,
CAN,10.5,7.7,6,https://chm.cbd.int/database/record/C54338B1-F853-7542-B2AD-34985A78BE08,
CCK,na,na,,na,
CHE,12.5,0,6,https://chm.cbd.int/database/record/79437B02-8838-F9E7-B0BB-571AB9CB6F30,
CHL,20,4.3,5,https://www.cbd.int/doc/world/cl/cl-nr-05-es.pdf,
CHN,14.86,na,6,https://chm.cbd.int/database/record/C7B6BC32-C06D-B09C-BFF8-7D265F24DBE6,
CIV,na,na,6,https://chm.cbd.int/database/record/6C5CE2DC-C057-ADCB-6424-0F485C7DEFEA,
CMR,22,na,6,https://chm.cbd.int/database/record/9AC174A3-DA9D-FD8C-764C-E2691FA90EE8,
COD,11,na,5,https://www.cbd.int/doc/world/cd/cd-nr-05-fr.pdf,
COG,13.2,,,na,
COK,1,na,5,https://www.cbd.int/doc/world/ck/ck-nr-05-en.pdf,
